"Video ",Subject,Sub Subject,Category,Feature Tags,Video Link
https://www.loom.com/share/53c15233577a46078616cef3f92da2cd?sid=c5293738-c97f-418f-a8ed-6307b76d909c,Report,Number,CMO Dash Template,,https://www.loom.com/share/53c15233577a46078616cef3f92da2cd?sid=c5293738-c97f-418f-a8ed-6307b76d909c
https://www.loom.com/share/6baef4b24eba49c7958145c8c8c72258?sid=4f733db2-43ee-431c-9232-19bbe39137f8,"Report ",Number,CMO Dash Template,,https://www.loom.com/share/6baef4b24eba49c7958145c8c8c72258?sid=4f733db2-43ee-431c-9232-19bbe39137f8
https://www.loom.com/share/4f3dd471001f4af387baafe4ea126048?sid=92710985-d991-4b7d-bbcc-f861e8c6a9b9,Report,"Number ",CMO Dash Template,,https://www.loom.com/share/4f3dd471001f4af387baafe4ea126048?sid=92710985-d991-4b7d-bbcc-f861e8c6a9b9
https://www.loom.com/share/434e358e5aac45dab482f91364eb81b5?sid=a5699226-749a-448a-969c-fed57735da24,Report,Number,CMO Dash Template,,https://www.loom.com/share/434e358e5aac45dab482f91364eb81b5?sid=a5699226-749a-448a-969c-fed57735da24
https://www.loom.com/share/40d15298b6c6498cae4fd22ecba9c2ac?sid=f98fcc71-e0f1-4c75-8e32-48b3f802c2ad,Report,Number,CMO Dash Template,"Inline Column Filter, Target Toggle",https://www.loom.com/share/40d15298b6c6498cae4fd22ecba9c2ac?sid=f98fcc71-e0f1-4c75-8e32-48b3f802c2ad
https://www.loom.com/share/8fc95054615b4686aa04b1d63254e9b0?sid=2db2101d-fa10-44ab-8ccf-9937e0674de4,"Report ",Number,CMO Dash Template,"Divide By, Target Toggle",https://www.loom.com/share/8fc95054615b4686aa04b1d63254e9b0?sid=2db2101d-fa10-44ab-8ccf-9937e0674de4
https://www.loom.com/share/887430fa23684cb4818451a07724cd12?sid=a127e9ad-37bc-4213-8245-26a32ff9d2af,Report,Table,CMO Dash Template,Attribution,https://www.loom.com/share/887430fa23684cb4818451a07724cd12?sid=a127e9ad-37bc-4213-8245-26a32ff9d2af
https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4,Report,Number,"CMO Dash Template, Gaetano DiNardi's Blog Vitals Dashboard","Divide By, Inline Column Filter, Percent Ratio Format",https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4
https://www.loom.com/share/8ffc82cc93244e679c31e984f9ef4527?sid=21c55456-da74-4a4f-a26a-40e920408782,Report,Number,CMO Dash Template,"Divide By, Inline Column Filter, Percent Ratio Format",https://www.loom.com/share/8ffc82cc93244e679c31e984f9ef4527?sid=21c55456-da74-4a4f-a26a-40e920408782
https://www.loom.com/share/6d1eae514e784edcbedd2eb93abba4ac?sid=44000eae-281b-448c-aad2-67824e9fad1f,Report,Number,"Business, CMO Dash Template","Divide By, Sequence of Actions",https://www.loom.com/share/6d1eae514e784edcbedd2eb93abba4ac?sid=44000eae-281b-448c-aad2-67824e9fad1f
https://www.loom.com/share/c70a97fb79214bcf99a1ab1381eeab2e?sid=81b654f2-4cc9-4c9d-ba34-20dc975bb936,Report,Pie Chart,"CMO Dash Template, Paid","Breakdown Filter, Divide By, Inline Column Filter",https://www.loom.com/share/c70a97fb79214bcf99a1ab1381eeab2e?sid=81b654f2-4cc9-4c9d-ba34-20dc975bb936
https://www.loom.com/share/4dce241c9a9b4fd0acfdf70f2354f17a?sid=599821a4-741e-4a36-9304-652262711cb5,Report,Pie Chart,"CMO Dash Template, Paid","Breakdown Filter, Divide By, Inline Column Filter",https://www.loom.com/share/4dce241c9a9b4fd0acfdf70f2354f17a?sid=599821a4-741e-4a36-9304-652262711cb5
https://www.loom.com/share/5745ef3dff5a431d8618f98e0849930f?sid=9b52d68f-dd4f-47bf-ac1a-ee0c9d4ec7fb,Report,Number,CMO Dash Template,"Divide By, Sequence of Actions",https://www.loom.com/share/5745ef3dff5a431d8618f98e0849930f?sid=9b52d68f-dd4f-47bf-ac1a-ee0c9d4ec7fb
https://www.loom.com/share/4fc2a35ae95648fea5c2da5b7cfde16a?sid=3308e955-fcd7-4b52-8bc2-589b4087b161,Report,Number,CMO Dash Template,"Divide By, Sequence of Actions",https://www.loom.com/share/4fc2a35ae95648fea5c2da5b7cfde16a?sid=3308e955-fcd7-4b52-8bc2-589b4087b161
https://www.loom.com/share/eb946d4a6429412a9b1b447270f15157?sid=d05d344d-e4f3-47e3-8198-951d38a044d6,Report,Line Chart,"CMO Dash Template, Organic",,https://www.loom.com/share/eb946d4a6429412a9b1b447270f15157?sid=d05d344d-e4f3-47e3-8198-951d38a044d6
https://www.loom.com/share/258cdd4ffa0c45e8a6a45cc1125e1a40?sid=21fb979a-13b4-4c9f-a0ca-e8b9f6fc690a,Report,Table,"Business, CMO Dash Template",Inline Column Filter,https://www.loom.com/share/258cdd4ffa0c45e8a6a45cc1125e1a40?sid=21fb979a-13b4-4c9f-a0ca-e8b9f6fc690a
https://www.loom.com/share/2087f1f7ab3a4c6d87cd95cbcf007e4b?sid=1b796a0d-8086-41cf-902b-b1348f7be4da,Report,Table,CMO Dash Template,"Attribution, Breakdown Filter, Customize Breakdown, Divide By, Percent Ratio Format",https://www.loom.com/share/2087f1f7ab3a4c6d87cd95cbcf007e4b?sid=1b796a0d-8086-41cf-902b-b1348f7be4da
https://www.loom.com/share/b56fa7a67ef243009dabdc3749d32dcd?sid=3df17c26-a460-4e39-b4ae-16cc4d4e4502,Report,Bar Chart,CMO Dash Template,Inline Column Filter,https://www.loom.com/share/b56fa7a67ef243009dabdc3749d32dcd?sid=3df17c26-a460-4e39-b4ae-16cc4d4e4502
https://www.loom.com/share/8651b0c19d614ded8a44ffd6d5ed1233?sid=04d054d0-75b9-4b44-8c15-f46d6b4125be,Report,Bar Chart,CMO Dash Template,Inline Column Filter,https://www.loom.com/share/8651b0c19d614ded8a44ffd6d5ed1233?sid=04d054d0-75b9-4b44-8c15-f46d6b4125be
https://www.loom.com/share/2aca7ad3d0814061b9af43a903e7222b?sid=bffc44ec-34e9-4f1e-a829-f1d96bdbac39,Report,Pie Chart,"Business, CMO Dash Template","Attribution, Inline Column Filter",https://www.loom.com/share/2aca7ad3d0814061b9af43a903e7222b?sid=bffc44ec-34e9-4f1e-a829-f1d96bdbac39
https://www.loom.com/share/1dfc42e5846545a68df433a4ca8d4a2b?sid=fdb5ea28-3865-4cc5-9cc9-89010530f56d,Report,Pie Chart,"Business, CMO Dash Template",Inline Column Filter,https://www.loom.com/share/1dfc42e5846545a68df433a4ca8d4a2b?sid=fdb5ea28-3865-4cc5-9cc9-89010530f56d
https://www.loom.com/share/6cfacb2adf1243ca8a6e097caa31d5a8?sid=60641878-59d7-4845-a41a-926b689ba1f8,Report,Pie Chart,"Business, CMO Dash Template",Attribution,https://www.loom.com/share/6cfacb2adf1243ca8a6e097caa31d5a8?sid=60641878-59d7-4845-a41a-926b689ba1f8
https://www.loom.com/share/f53cb84a31d247d4880ac7fa0ba66b31?sid=4a78e472-457a-4571-94d5-3d5260e374d1,Report,Pie Chart,"Business, CMO Dash Template","Attribution, Inline Column Filter",https://www.loom.com/share/f53cb84a31d247d4880ac7fa0ba66b31?sid=4a78e472-457a-4571-94d5-3d5260e374d1
https://www.loom.com/share/813128a341744bc4827a79e9bff4a81c?sid=07cbb184-36ab-4ae7-a8eb-14cc1932b1d2,Report,Line Chart,CMO Dash Template,"Attribution, Customize Breakdown, Divide By, no-attribution toggle",https://www.loom.com/share/813128a341744bc4827a79e9bff4a81c?sid=07cbb184-36ab-4ae7-a8eb-14cc1932b1d2
https://www.loom.com/share/a374de69825c432f87cff62433eca68a?sid=b5ea4994-de69-4345-8843-a68dde74ce67,Report,Line Chart,CMO Dash Template,"Attribution, Customize Breakdown, Divide By, Percent Ratio Format, no-attribution toggle",https://www.loom.com/share/a374de69825c432f87cff62433eca68a?sid=b5ea4994-de69-4345-8843-a68dde74ce67
https://www.loom.com/share/31a8c3674c1d489f839f3d17fbc65030?sid=ad8088e0-d862-40b2-a18a-417d24057dbb,Report,Line Chart,CMO Dash Template,"Attribution, Customize Breakdown, Divide By, no-attribution toggle",https://www.loom.com/share/31a8c3674c1d489f839f3d17fbc65030?sid=ad8088e0-d862-40b2-a18a-417d24057dbb
https://www.loom.com/share/d4ca198f0a264215abc40c34f0d9067c?sid=5cedb4ff-2995-4320-b767-98a16d89ed72,Report,Line Chart,CMO Dash Template,"Customize Breakdown, Divide By, Percent Ratio Format, no-attribution toggle",https://www.loom.com/share/d4ca198f0a264215abc40c34f0d9067c?sid=5cedb4ff-2995-4320-b767-98a16d89ed72